dim_0,dim_1,dim_2
-1.7475279569625854,-2.964123010635376,15.10731315612793
-2.0073181221146355,-3.3970427939853955,14.438882385629405
-2.0073180198669434,-3.397042751312256,14.438882827758789
-2.306863236487173,-3.9214686962986978,13.842552111182693
-2.306863307952881,-3.921468734741211,13.842552185058594
-2.65685075790443,-4.551745394507638,13.328186534533234
-2.656850814819336,-4.551745414733887,13.328186988830566
-3.0688522344327156,-5.3045261794821,12.91046165595556
-3.068852186203003,-5.304526329040527,12.91046142578125
-3.555533773774357,-6.198169707773087,12.610590156611808
-3.5555338859558105,-6.198169708251953,12.610589981079102
-4.130655857754978,-7.251400747465168,12.458557921595654
-4.130655765533447,-7.251400947570801,12.458558082580566
-4.808722422051193,-8.480725908964574,12.495822531295348
-4.808722496032715,-8.48072624206543,12.49582290649414
-5.604052578381072,-9.895845783751309,12.778198448327638
-5.604052543640137,-9.895845413208008,12.7781982421875
-6.528922759756027,-11.492075303766962,13.378120445496709
-6.5289225578308105,-11.492074966430664,13.378120422363281
-7.590311977073859,-13.238761087434018,14.38452158021574
-7.5903120040893555,-13.238760948181152,14.384521484375
-8.784722837862189,-15.063344348846739,15.897052668276293
-8.784723281860352,-15.06334400177002,15.897052764892578
-10.090765136662299,-16.832972443255066,18.009656825126164
-10.090764999389648,-16.832971572875977,18.00965690612793
-11.4600003942866,-18.340421977047743,20.777952641206593
-11.460000038146973,-18.340421676635742,20.777952194213867
-12.808353239320928,-19.308474913115248,24.168850648053585
-12.808353424072266,-19.308475494384766,24.16884994506836
-14.01314034589637,-19.432361474795446,28.003667136536787
-14.013140678405762,-19.432361602783203,28.0036678314209
-14.922997269039715,-18.472062565162776,31.927239415637832
-14.92299747467041,-18.472063064575195,31.92723846435547
-15.38611785904201,-16.37336031927523,35.4489899597814
-15.386117935180664,-16.37335968017578,35.44898986816406
-15.292968904706049,-13.35014540524999,38.076694062769576
-15.29296875,-13.35014533996582,38.07669448852539
-14.61623077079066,-9.851524826395563,39.492283698753354
-14.616230964660645,-9.851524353027344,39.49228286743164
-13.425403728135509,-6.407177936153397,39.66183579310146
-13.425403594970703,-6.407177925109863,39.661834716796875
-11.866060126871593,-3.442642077885186,38.807803566395826
-11.866060256958008,-3.4426419734954834,38.807804107666016
-10.115650524250709,-1.1748199373465642,37.27766850016854
-10.115650177001953,-1.1748199462890625,37.27766799926758
-8.33921457009247,0.3794873313692928,35.40614181704641
-8.339214324951172,0.3794873356819153,35.40614318847656
-6.661870074478472,1.3289629189534184,33.438361512852396
-6.661870002746582,1.3289629220962524,33.43836212158203
-5.160988375605369,1.8286288159288977,31.51806910152247
-5.1609883308410645,1.8286287784576416,31.518068313598633
-3.8718044556379994,2.0278104164263904,29.711063521328935
-3.8718044757843018,2.0278103351593018,29.711063385009766
-2.79861902552303,2.0470667529894437,28.03585494606225
-2.798619031906128,2.0470666885375977,28.03585433959961
-1.9262201681002984,1.9738899341851706,26.48773674813261
-1.926220178604126,1.973889946937561,26.48773765563965
-1.2290760533320029,1.8671024995993346,25.053539609366116
-1.2290760278701782,1.8671025037765503,25.053539276123047
-0.677763343394817,1.7637814202924258,23.719059978158207
-0.6777633428573608,1.7637814283370972,23.71906089782715
-0.24298056782026267,1.6858611557151697,22.47204492367489
-0.24298056960105896,1.6858611106872559,22.472043991088867
0.10224973170857171,1.6454641224786541,21.30289167688078
0.10224973410367966,1.6454641819000244,21.30289077758789
0.38161445684810197,1.6488642451055024,20.204434091229835
0.38161444664001465,1.6488642692565918,20.20443344116211
0.6153234095841492,1.6992911408738554,19.171462331044882
0.6153234243392944,1.6992911100387573,19.171463012695312
0.82038007726035,1.798847462568618,18.200297763964887
0.8203800916671753,1.7988474369049072,18.200298309326172
1.0110856002216089,1.9497911713850047,17.288509785093176
1.0110856294631958,1.9497911930084229,17.288509368896484
1.199641726644415,2.155383399895014,16.434803342801928
1.1996417045593262,2.155383348464966,16.434803009033203
1.3967695325220562,2.4204557642295645,15.639062978825297
1.3967695236206055,2.4204556941986084,15.639062881469727
1.6123016717051906,2.751805051835267,14.90254955750197
1.6123017072677612,2.751805067062378,14.902549743652344
1.855727703090842,3.1584804700620905,14.228270835919963
1.8557276725769043,3.158480405807495,14.228270530700684
2.1366850238931208,3.651990247230952,13.621555289378039
2.1366851329803467,3.6519901752471924,13.62155532836914
2.4653903570573528,4.246411261771825,13.090890519531277
2.46539044380188,4.246411323547363,13.090890884399414
2.852997413206716,4.958326512504228,12.649096834399915
2.852997303009033,4.95832633972168,12.649096488952637
3.3118518009342406,5.806436877872428,12.314936531185685
3.311851739883423,5.806437015533447,12.314936637878418
3.855578904098262,6.810574918514851,12.11524682108284
3.855578899383545,6.810575008392334,12.115246772766113
4.498885567692588,7.989663603194142,12.087612133441134
4.498885631561279,7.989663600921631,12.08761215209961
5.256877998264224,9.357931070133915,12.283436158437237
5.256877899169922,9.357931137084961,12.283435821533203
6.14357841406715,10.918403881806718,12.770837030003591
6.14357852935791,10.918403625488281,12.77083683013916
7.16918670531269,12.652530376899168,13.63599006575787
